,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
14524,19,589.0817124099623,0.4909014270083019,0.0004090845225069,21,9,True,1.0,20.0
14525,19,200.4997734288445,0.167083144524037,0.00013923595377,0,29,True,1.0,20.0
14526,19,49.6207565012122,0.0413506304176768,3.445885868139736e-05,0,49,True,1.0,20.0
14527,19,22.140615556836742,0.0184505129640306,1.5375427470025517e-05,1,9,True,1.0,20.0
14528,19,194.68576664357184,0.1625089871816125,0.0001356502397175,2,49,True,1.0,20.0
14529,19,360.4062171232301,0.3003385142693584,0.0002502820952244,3,9,True,1.0,20.0
14530,19,20.74037679896616,0.0172836473324718,1.44030394437265e-05,8,9,True,1.0,20.0
14531,19,1.5922452734056551,0.0013268710611713,1.105725884309483e-06,8,29,False,0.0,20.0
14532,19,57.38952665329885,0.0477847848903404,3.978749782709444e-05,8,49,True,1.0,20.0
14533,19,107.3530325567558,0.0895354733584285,7.467512373513638e-05,9,9,True,1.0,20.0
14534,19,609.6851937520389,0.5076479548310066,0.0004226877225903,23,29,True,1.0,20.0
14535,19,8.661463505013176,0.0072178862541776,6.014905211814705e-06,23,49,False,0.0,20.0
14536,19,156.01668123286345,0.1300139010273862,0.0001083449175228,0,9,True,1.0,20.0
14537,19,772.6612867356364,0.6444214234659186,0.0005374657410057,0,29,True,1.0,20.0
14538,19,56.45601894418588,0.0470466824534882,3.920556871124019e-05,0,49,True,1.0,20.0
14539,19,60.669969135652025,0.0505583076130433,4.213192301086946e-05,5,9,True,1.0,20.0
14540,19,612.8696959032845,0.5102994970052328,0.0004248955012533,5,29,True,1.0,20.0
14541,19,3.9120711286681287,0.0032600592738901,2.716716061575089e-06,6,29,False,0.0,60.0
14542,19,608.0655056891592,0.506721254740966,0.0004222677122841,6,49,True,1.0,20.0
14543,19,0.9196569781107192,0.0007663808150922,6.38650679243555e-07,7,49,False,0.0,60.0
14544,19,452.2146110407463,0.0103207643564165,2.355478445411841e-07,20,0,True,1.0,731.0
14545,19,134.561027567356,0.1115763080989685,9.251766840710487e-05,20,20,True,1.0,20.0
14546,19,1.3040224900799775,0.0010866854083999,9.055711736666508e-07,20,40,False,0.0,20.0
14547,19,534.1094070745199,0.4918134503448618,0.0004528668971867,20,58,True,1.0,18.0
14548,19,52.61129528198568,0.0400390375053163,3.047110921256952e-05,21,20,True,1.0,22.0
14549,19,102.9263066087457,0.0919806135913723,8.219893975993957e-05,23,58,True,1.0,18.0
14550,19,100.0167563115712,0.0780770931393998,6.095011174035897e-05,0,20,True,1.0,22.0
14551,19,2.95116246569928,0.0024593020547494,2.049418378957833e-06,0,40,False,0.0,20.0
14552,19,29.374377176063007,0.0244786476467191,2.0398873038932645e-05,1,0,True,1.0,20.0
14553,19,23.29361210285288,0.019411343419044,1.6176119515870053e-05,3,0,True,1.0,20.0
